H.SN,Q.1,Q1.1,Q.2,Q.3,Q.4,Q.5,Q.6,Q.7,Q.8,Q.9Star,Q.10HotelAge,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,D1,D2,D3,D4,D5,E1,E2,E3,E4,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,Internal_Factors_of_OC,Organization_Strategy,Organization_System,Organization_People,Organization_Leaders_Charisma,Organization_Technology,External_Factors_of_OC,Government_Role,Competitor_Role,Labor_Union_Role,COVID19_Factor,Internal_External_Impact,Organizatinal_Performance,Organizatinal_Performance_COVID19,Interact1a_strategy_emplevel,Interact1b_system_emplevel,Interact1c_People_emplevel,Interact1c_Charisma_emplevel,Interact2a_strategy_Experience,Interact2b_system_Experience,Interact2c_People_Experience,Interact2d_Charisma_Experience,Interact3a_strategy_age,Interact3b_system_age,Interact3c_people_age,Interact3d_Charisma_age,Interact4a_strategy_stars,Interact4b_system_stars,Interact4c_People_stars,Interact4d_Charisma_stars,Interact5a_Internal_Gender,Interact5b_Internal_age,Interact5c_Internal_Marital,Interact5d_Internal_employment,Interact5e_Internal_education,Interact5f_Internal_exp_hotel,Interact5g_Internal_exp_industry,Interact5h_Internal_hotel_age,Interact5i_Internal_hotel_stars,Interact6a_External_Gender,Interact6b_External_Age,Interact6c_External_Marital,Interact6d_External_Employment,Interact6e_External_Educatio,Interact6f_External_Experience_hotel,Interact6g_External_Experience_hospitality,Interact6h_External_hotel_age,Interact6i_External_hotel_Stars
1,"Airport Hotel, Kathamandu 4 star",1,2,2,1,1,2,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4.166667,5,5,1,3,4.4,5,5,4,4.333333,4,4,4,4.166667,5,8,8,8.333334,10,12,12,12.500001,15,16,16,16.666668,20,8,8,4,4,8,8,8,12,16,2,2,1,1,2,2,2,3,4
1,"Airport Hotel, Kathamandu 4 star",1,1,5,2,3,3,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,5,5,4,5,4,5,5,5,5,5,5,4,5,4,5,4,5,5,4,5,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,3,4.2,4.6,5,4.4,4.75,4.166667,4.5,15,15,15,12,25,25,25,20,15,15,15,12,20,20,20,16,5,25,10,15,15,25,15,15,20,3,15,6,9,9,15,9,9,12
1,"Airport Hotel, Kathamandu 4 star",1,1,3,2,2,3,3,4,4,5,4,4,4,5,5,4,4,5,4,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,1,1,1,1,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,4,5,4,4,4,4,4,4,4,4.4,4.333333,4.375,4,4.2,5,1,4,5,4,4,5,4.333333,4,8.666666,8.75,8,8.4,12.999999,13.125,12,12.6,21.666665,21.875,20,21,17.333332,17.5,16,16.8,4.4,13.2,8.8,8.8,13.2,13.2,17.6,22,17.6,1,3,2,2,3,3,4,5,4
1,"Airport Hotel, Kathamandu 4 star",1,2,3,1,3,3,1,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,5,5,4,4,1,1,1,1,1,1,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4.25,4.833333,4.4,4,1,2.2,5,5,5,5,5,4,12,12.75,14.499999,13.2,4,4.25,4.833333,4.4,12,12.75,14.499999,13.2,16,17,19.333332,17.6,8,12,4,12,12,4,8,12,16,2,3,1,3,3,1,2,3,4
1,"Airport Hotel, Kathamandu 4 star",1,2,4,2,4,4,5,4,4,4,4,4,5,4,5,2,5,2,4,4,5,5,4,4,5,4,5,3,4,5,3,4,4,5,4,5,5,4,4,5,4,4,5,4,3,1,3,2,5,4,4,5,4,5,5,4,5,5,4,5,4,5,4,4,5,4,3,4,5,5,4,4,4,5,4,5,5,5,4,5,5,4,5,4.4,3.666667,4.25,4.166667,4.4,4.5,2.25,4.4,4.8,4.5,4,4.5,4.5,4.666667,14.666668,17,16.666668,17.6,18.333335,21.25,20.833335,22,14.666668,17,16.666668,17.6,14.666668,17,16.666668,17.6,8.8,17.6,8.8,17.6,17.6,22,17.6,17.6,17.6,4.5,9,4.5,9,9,11.25,9,9,9
1,"Airport Hotel, Kathamandu 4 star",1,1,4,3,2,3,3,4,4,5,4,4,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,5,4,4,4,4,4,5,5,5,3,5,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,5,5,5,4.4,4.333333,4.5,4.166667,4.6,4,2,3.2,4,4,5,5,4,4.666667,8.666666,9,8.333334,9.2,12.999999,13.5,12.500001,13.8,21.666665,22.5,20.833335,23,17.333332,18,16.666668,18.4,4.4,17.6,13.2,8.8,13.2,13.2,17.6,22,17.6,2,8,6,4,6,6,8,10,8
1,"Airport Hotel, Kathamandu 4 star",1,1,4,2,4,4,5,6,4,7,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,4,4,1,1,1,1,1,2,2,5,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4.875,5,4.4,4.5,1,3,4.2,5,4,4,4,5,16,19.5,20,17.6,20,24.375,25,22,28,34.125,35,30.8,16,19.5,20,17.6,4,16,8,16,16,20,24,28,16,1,4,2,4,4,5,6,7,4
1,"Airport Hotel, Kathamandu 4 star",1,2,4,2,2,3,4,5,4,6,4,4,5,4,4,4,5,4,4,4,4,4,3,2,2,2,4,4,4,4,5,5,4,4,5,4,4,4,3,4,4,4,4,4,2,1,4,2,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,5,5,4,4,4.2,4.166667,3.125,4.5,4,3.75,2.25,4,4.2,4.5,4.4,4.5,4.166667,4.333333,8.333334,6.25,9,8,16.666668,12.5,18,16,25.000002,18.75,27,24,16.666668,12.5,18,16,8.4,16.8,8.4,8.4,12.6,16.8,21,25.2,16.8,4.5,9,4.5,4.5,6.75,9,11.25,13.5,9
1,"Airport Hotel, Kathamandu 4 star",1,2,4,2,2,4,4,4,4,5,5,4,5,5,4,2,5,1,4,5,5,5,5,5,5,5,5,3,4,4,2,4,4,5,3,4,4,5,5,4,5,4,5,4,2,1,3,2,4,4,4,5,5,4,5,5,5,4,5,5,4,5,4,4,5,5,3,5,5,4,5,5,5,4,4,5,5,4,5,4,4,4,5,4.6,3.666667,4.625,3.666667,4.4,4.5,2,4.4,4.6,4.75,4.2,4.75,4.666667,4.333333,7.333334,9.25,7.333334,8.8,14.666668,18.5,14.666668,17.6,18.333335,23.125,18.333335,22,14.666668,18.5,14.666668,17.6,9.2,18.4,9.2,9.2,18.4,18.4,18.4,23,18.4,4,8,4,4,8,8,8,10,8
1,"Airport Hotel, Kathamandu 4 star",1,1,4,2,2,4,4,5,4,6,4,5,4,5,4,4,4,4,4,4,5,4,3,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,5,1,5,2,4,3,3,4,2,3,5,5,5,5,5,3,3,2,3,4,4,4,4,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4,4.166667,4,4.333333,4.2,4,3,3,5,2.75,4.2,4,4,4,8.333334,8,8.666666,8.4,16.666668,16,17.333332,16.8,25.000002,24,25.999998,25.2,16.666668,16,17.333332,16.8,4.4,17.6,8.8,8.8,17.6,17.6,22,26.4,17.6,3,12,6,6,12,12,15,18,12
