Gender,Designation,Age,experience,OS1,OS2,OS3,OS4,OS5,OS6,GOV1,GOV2,GOV3,GOV4,GOV5,GOV6,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,REW1,REW2,REW3,REW4,REW5,REW6,REW7,PER1,PER2,PER3,PER4,PER5,PER6,PER7,PER8,PER9,PER10,TRU1,TRU2,TRU3,TRU4,TRU5,TRU6,TRU7,TRU8
1,3,33,15,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,4,3,4,3,2,2,1,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,2,1,3
2,1,40,5,4,4,4,5,5,4,4,4,4,5,5,4,4,5,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,1,4,3,4
2,3,23,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,1,41,20,4,3,2,3,3,4,4,4,2,4,4,4,4,3,2,3,4,3,3,3,4,4,3,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,1,4,4,4
1,2,35,13,5,4,3,3,4,4,5,4,2,3,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,23,1,5,4,5,5,4,5,4,4,5,4,5,5,4,3,2,3,4,4,4,4,3,3,2,2,4,4,5,4,4,4,4,4,3,5,4,4,5,1,5,5,5,4,3,4,4,5
1,3,26,4,4,2,5,4,4,4,5,2,5,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,2,3,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,5,5,4
1,2,31,9,5,4,5,4,4,3,4,4,5,4,4,4,5,4,1,4,4,3,5,4,5,4,3,1,5,2,4,4,3,3,4,4,4,5,5,4,5,4,5,5,5,4,3,5,5,4
1,3,35,6,4,4,5,4,5,5,4,4,5,4,5,4,4,5,4,4,4,4,5,4,5,4,5,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,2,4,4,5
2,1,39,15,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,4,4,4,4,4,3,3,4,4,4,4,4,2,4,2,3,3,2,4,4,4,4,4,4,4,3,4,4,4
2,3,25,0.5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,2,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,5,5,4,4,5,4,5,4,5,1,4,4,4
1,1,38,15,4,3,4,5,2,2,2,2,4,4,4,2,2,2,5,5,3,3,4,3,2,4,3,4,3,1,2,2,4,4,1,2,1,3,3,4,3,4,3,4,5,5,1,4,5,5
1,3,29,6,5,5,5,4,4,5,5,4,4,4,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4
2,1,40,17,4,4,4,4,3,4,5,4,5,4,4,5,4,5,4,4,5,5,4,4,4,5,5,2,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,4
2,1,31,6,5,3,3,3,4,4,5,4,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,2,1,2,3,3,5,4,2,3,3,3,3,3,4,3,3,5,5,4,3,4,4,4
2,3,34,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,4,3,4,3,4,3,3,4,3,4,4,4,3,3,4,3,4
2,1,31,10,4,4,4,5,4,3,4,4,4,3,5,4,4,4,3,4,3,3,4,4,3,3,3,3,4,4,4,4,3,4,3,4,4,5,4,5,5,5,5,5,4,4,3,4,4,3
1,3,39,13,4,5,5,4,5,4,5,4,4,5,5,5,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,4,3,5,4,5,4,5,4,5,5,4,3,4,3,4,5,5,4,5
2,2,28,8,5,3,1,3,4,5,4,3,3,3,3,2,3,3,4,4,4,3,4,5,4,2,2,1,4,2,3,3,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,1,40,16,4,4,4,4,5,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4
2,3,39,10,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
