SN,Quali,wsb,cm,effe,will,DM,CPL,Sati,DSWP,Nos,How_often,Separately,Training,Who,Engagement,Responsible
9,SLC/SEE,Very often,Somehow motivated,Somehow effective,Less willing,No,Good,Less satisfied,1500-2000 gm,More than 8 members,2 times per week,No,No, ,Often,Municipality
10,Masters/ PhD,Always,Not motivated,Not effective,Highly willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
11,Bachelor,Very often,Not motivated,Less effective,Highly willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,More than a week,No,Yes,Private organization,Very often,Municipality
12,Below SLC/SEE,Occasionally,Highly motivated,Effective,Not willing,Occassionally,Satisfactory,Less satisfied,1500-2000 gm,More than 8 members,2 times per week,Don't know,No, ,Often,Home owner
13,Inter/+2,Very often,Less motivated,Somehow effective,Highly willing,No,Not good,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Occassionly,Municipality
14,Inter/+2,Often,Motivated,Less effective,Less willing,No,Satisfactory,Less satisfied,1000-1500 gm,5-8 members,Once a week,No,No, ,Very often,Municipality
15,Masters/ PhD,Always,Less motivated,Somehow effective,Highly willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
16,Masters/ PhD,Always,Less motivated,Not effective,Highly willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
17,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
18,Bachelor,Often,Not motivated,Not effective,Willing,No,Satisfactory,Less satisfied,1500-2000 gm,More than 8 members,2 times per week,No,No, ,Very often,Municipality
19,SLC/SEE,Occasionally,Motivated,Effective,Somewhat willing,No,Satisfactory,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
20,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Not good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Often,Home owner
21,Below SLC/SEE,No,Somehow motivated,Less effective,Less willing,Occassionally,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
22,Masters/ PhD,Very often,Somehow motivated,Somehow effective,Highly willing,No,Satisfactory,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,Don't know,No, ,Always,Municipality
23,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
24,Bachelor,Very often,Somehow motivated,Less effective,Somewhat willing,No,Satisfactory,Not satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Often,Municipality
25,Masters/ PhD,Very often,Motivated,Somehow effective,Highly willing,No,Not good,Less satisfied,1000-1500 gm,5-8 members,Once a week,No,No, ,Occassionly,Municipality
26,Bachelor,Very often,Somehow motivated,Less effective,Highly willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
27,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
28,Below SLC/SEE,Occasionally,Highly motivated,Somehow effective,Not willing,Occassionally,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Very often,NGO/CBOs
29,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Satisfactory,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
30,Inter/+2,Often,Somehow motivated,Somehow effective,Willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
31,Masters/ PhD,Always,Not motivated,Not effective,Highly willing,No,Good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Always,Municipality
32,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,Once a week,No,No, ,Very often,Municipality
33,Inter/+2,Often,Motivated,Effective,Somewhat willing,No,Satisfactory,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Occassionly,NGO/CBOs
34,SLC/SEE,Very often,Somehow motivated,Somehow effective,Less willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
35,Masters/ PhD,Very often,Not motivated,Not effective,Highly willing,No,Not good,Somehow satisfied,1500-2000 gm,More than 8 members,2 times per week,No,No, ,Often,Municipality
36,Bachelor,Very often,Less motivated,Somehow effective,Somewhat willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
37,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Often,Municipality
38,Inter/+2,Occasionally,Somehow motivated,Somehow effective,Highly willing,No,Satisfactory,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
39,Masters/ PhD,Very often,Somehow motivated,Less effective,Highly willing,No,Not good,Not satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
40,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Not good,Somehow satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
41,Masters/ PhD,Always,Less motivated,Not effective,Highly willing,No,Not good,Somehow satisfied,More than 2000 gm,More than 8 members,2 times per week,No,No, ,Always,Home owner
42,Below SLC/SEE,No,Motivated,Less effective,Somewhat willing,Occassionally,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
43,Inter/+2,Very often,Less motivated,Somehow effective,Highly willing,No,Good,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
44,Inter/+2,No,Highly motivated,Effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,Yes,NGO/CBOs,Very often,Municipality
45,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
46,Below SLC/SEE,Often,Motivated,Somehow effective,Less willing,No,Satisfactory,Not satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Very often,Municipality
47,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,Don't know,No, ,Always,NGO/CBOs
48,Masters/ PhD,Very often,Somehow motivated,Somehow effective,Willing,No,Not good,Not satisfied,500-1000 gm,1-4 members,More than a week,No,No, ,Often,Municipality
49,Masters/ PhD,Very often,Less motivated,Less effective,Highly willing,No,Not good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
50,Bachelor,Often,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
51,Masters/ PhD,Always,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Less satisfied,1000-1500 gm,5-8 members,2 times per week,No,No, ,Occassionly,Municipality
52,Masters/ PhD,Always,Less motivated,Less effective,Highly willing,No,Good,Somehow satisfied,1500-2000 gm,More than 8 members,2 times per week,No,No, ,Very often,Municipality
53,Masters/ PhD,Always,Not motivated,Not effective,Highly willing,No,Satisfactory,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Very often,Municipality
54,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
55,Bachelor,Occasionally,Motivated,Somehow effective,Willing,No,Not good,Not satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Often,Municipality
56,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Satisfactory,Somehow satisfied,More than 2000 gm,More than 8 members,Once a week,No,No, ,Very often,Municipality
57,Masters/ PhD,Very often,Less motivated,Somehow effective,Highly willing,No,Not good,Less satisfied,500-1000 gm,1-4 members,2 times per week,No,No, ,Always,Municipality
58,SLC/SEE,Often,Somehow motivated,Less effective,Somewhat willing,No,Satisfactory,Less satisfied,1500-2000 gm,More than 8 members,2 times per week,No,No, ,Very often,Municipality
59,SLC/SEE,Often,Somehow motivated,Less effective,Somewhat willing,No,Good,Somehow satisfied,Less than 500 gm,1-4 members,2 times per week,Don't know,No, ,Often,Municipality
