Fiscal_year,M_RM,Conflict_episodes,Claimed_Relief_Fund,Received_Relief_Fund
2075-2076,Crop+property damage,565,7504124,2120100
2075-2076,Livestock loss,403,3488800,1776500
2075-2076,Human injury,0,0,0
2075-2076,Human demise,0,0,0
2076-2077,Crop+property damage,857,8224170,2658500
2076-2077,Livestock loss,486,4389900,2407000
2076-2077,Human injury,8,567970,739290
2076-2077,Human demise,7,7000000,7000000
2077-2078,Crop+property damage,89,1114500,387500
2077-2078,Livestock loss,162,1978425,1017000
2077-2078,Human injury,5,249244,218675
2077-2078,Human demise,0,0,0
2078-2079,Crop+property damage,936,13175860,4179500
2078-2079,Livestock loss,984,11676290,6670500
2078-2079,Human injury,3,35990,31000
2078-2079,Human demise,4,4000000,4000000
2079-2080,Crop+property damage,500,6821182,2165900
2079-2080,Livestock loss,713,9257700,5086000
2079-2080,Human injury,14,636385,443830
2079-2080,Human demise,3,3000000,3000000
