gender,age,academinc,Salary,serviceyr,Designation,Inn1,Inn2,Inn3,Inn4,Inn5,jd1,jd2,jd3,jd4,jd5,we1,we2,we3,we4,we5,tr1,tr2,tr3,tr4,tr5,as1,as2,as3,as4,as5,ap1,ap2,ap3,ap4,ap5,pm1,pm2,pm3,pm4,pm5
m1,age 1,ed1,sal1,1,3,4,2,4,2,3,1,2,1,1,2,1,1,3,1,2,4,2,3,3,4,1,2,2,1,2,1,3,1,2,2,4,2,4,2,3
m1,age 1,ed4,sal2,1,2,2,4,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1
m1,age 2,ed1,sal2,2,3,1,5,3,3,5,2,1,1,3,3,3,2,3,3,3,5,5,5,3,3,2,2,2,3,2,3,1,3,3,2,2,2,3,3,3
m1,age 1,ed1,sal2,1,3,1,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
m1,age 3,ed2,sal1,3,3,2,3,3,2,3,1,2,2,2,2,2,2,2,2,2,4,4,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
m1,age 4,ed2,sal2,4,4,1,1,2,2,3,1,1,1,2,2,2,1,1,1,1,4,4,4,4,4,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2
m1,age 2,ed2,sal2,2,4,3,2,2,3,3,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,3,3,3,3,2,3,2,3,3,3,2,2,3,3,3
m1,age 1,ed1,sal1,1,2,1,2,2,3,3,1,1,1,3,2,2,1,2,1,1,2,2,3,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1
m1,age 1,ed1,sal1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
m1,age 2,ed1,sal2,2,4,4,4,4,3,4,3,3,2,4,4,3,3,2,3,2,5,4,5,3,5,2,3,2,2,2,2,2,4,2,2,2,4,4,4,3
m1,age 3,ed1,sal3,3,3,2,2,2,4,4,2,4,2,4,4,2,2,2,4,2,2,2,4,2,4,2,3,2,2,2,2,1,3,3,3,2,4,3,4,4
m1,age 2,ed1,sal2,2,4,2,3,3,3,4,2,3,2,3,3,2,2,2,3,3,5,5,5,3,4,3,3,2,2,2,3,2,3,3,3,2,3,3,3,2
m1,age 1,ed1,sal1,1,3,2,3,3,3,3,2,2,2,2,4,2,2,2,2,2,3,3,3,3,3,2,2,2,3,2,2,2,3,3,2,2,3,2,2,2
Fe2,age 2,ed1,sal2,1,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Fe2,age 1,ed1,sal1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3
Fe2,age 1,ed1,sal2,1,4,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,3,3,4,3,4,3,3,3,3,3,2,2,3,2,2,2,2,4,4,3
Fe2,age 2,ed1,sal2,1,4,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,4,4,4,3,4,2,2,2,3,3,2,2,3,2,2,2,3,3,3,3
m1,age 1,ed1,sal2,1,4,1,4,1,1,3,1,1,1,3,3,2,3,2,2,2,3,3,4,2,3,1,1,1,1,3,1,1,2,1,1,1,3,3,1,2
Fe2,age 3,ed2,sal1,3,3,3,2,3,3,3,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,2,2,3,3,3
m1,age 1,ed1,sal2,2,4,2,5,3,3,4,3,3,2,5,4,2,2,2,2,1,5,5,5,3,5,3,3,2,3,2,2,1,2,2,2,2,3,3,3,3
m1,age 1,ed1,sal2,1,2,2,4,2,2,2,2,2,2,2,3,2,4,3,3,2,5,2,5,1,5,2,2,3,3,2,3,2,4,3,2,2,4,4,4,3
m1,age 2,ed1,sal2,2,4,2,4,2,2,4,2,2,2,2,2,2,2,1,2,1,4,2,4,4,4,2,2,1,2,2,2,2,2,2,2,2,2,2,4,1
m1,age 3,ed1,sal1,3,3,2,4,2,2,4,2,2,2,2,3,2,3,2,3,2,2,2,4,2,2,4,4,2,2,2,1,1,1,1,1,2,2,2,2,2
